age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,floor,locality,neworold,ownership,price,pricepersquare,status
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,250 sq ft",1,2,2 BHK Apartment ,"7, ",Baner,New,Freehold,8500000,"₹ 6,800/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,100 sq ft",2,3,3 BHK Apartment ,"4, ",Aundh,New,Freehold,25000000,"₹ 11,904/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,AC","Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","3,672 sq ft",2,4,4 BHK Apartment ,"5, ",Baner,New,Freehold,45000000,"₹ 12,254/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,800 sq ft",2,4,4 BHK Apartment ,"7, ",Bavdhan,New,Freehold,20000000,"₹ 7,142/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,200 sq ft",2,3,3 BHK Apartment ,"5, ",Aundh,New,Freehold,25000000,"₹ 11,363/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,704 sq ft",2,4,4 BHK Apartment ,"8, ",Balewadi,New,Freehold,28000000,"₹ 10,355/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","2,580 sq ft",2,4,4 BHK Apartment ,"4, ",Hinjewadi,New,Freehold,16700000,"₹ 6,472/ sq ft ",Ready to move
11 - 12 years,"Car Parking,Power Backup,24 X 7 Security","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",683 sq ft,1,1,1 BHK Apartment ,"5, ",Pimple Nilakh,New,Co-Operative Society,4000000,"₹ 5,856/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Gymnasium,Sports Facility",566 sq ft,,2,1 BHK Apartment ,"3, ",Wagholi,New,Freehold,2700000,"₹ 4,770/ sq ft ",Ready to move
6 - 7 years,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Golf Course,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Swimming Pool,651 sq ft,1,1,1 BHK Apartment ,"2, ",Sasane Nagar,Resale,Freehold,3100000,"₹ 4,761/ sq ft ","Ready to move,Unfurnished"
7 - 8 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,720 sq ft,1,1,1 BHK Apartment ,"2, ",Wadgaon Sheri,Resale,Freehold,4600000,"₹ 6,388/ sq ft ","Ready to move,Unfurnished"
3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,925 sq ft,,1,2 BHK Apartment ,"2, ",Pimple Saudagar,Resale,Co-Operative Society,6500000,"₹ 7,027/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,140 sq ft",,1,2 BHK Apartment ,"7, ",Baner,New,Freehold,7500000,"₹ 6,578/ sq ft ",Ready to move
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter","Sports Facility,Landscaped Gardens","1,442 sq ft",,3,3 BHK Apartment ,"6, ",Pimple Saudagar,Resale,Freehold,11000000,"₹ 7,628/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,580 sq ft",,3,3 BHK Apartment ,"5, ",Hinjewadi,Resale,Freehold,7200000,"₹ 4,556/ sq ft ","Ready to move,Semi-Furnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,580 sq ft",,3,3 BHK Apartment ,"21, ",Hinjewadi,Resale,Freehold,8000000,"₹ 5,063/ sq ft ","Ready to move,Semi-Furnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,AC,Wardrobe,TV,Refrigerator,Sofa,BED","Sports Facility,Landscaped Gardens,Wifi,Dining Table,Gas connection","1,967 sq ft",1,3,3 BHK Villa ,Gr ,Wagholi,Resale,Freehold,9500000,"₹ 4,829/ sq ft ","Ready to move,Semi-Furnished"
10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens","Swimming Pool,Sports Facility",650 sq ft,,1,1 BHK Apartment ,"6, ",Vishrantwadi,Resale,Co-Operative Society,4100000,"₹ 6,307/ sq ft ","Ready to move,Unfurnished"
4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","2,050 sq ft",,3,3 BHK Apartment ,"17, ",Kharadi,Resale,Freehold,17000000,"₹ 8,292/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"AC,Wardrobe,Refrigerator,Sofa,Washing Machine,Wifi,Dining Table,Gas connection,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,TV","2,395 sq ft",2,3,3 BHK Apartment ,"4, ",Deccan Gymkhana,New,Freehold,33100000,"₹ 13,820/ sq ft ",Ready to move
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Landscaped Gardens",Sports Facility,610 sq ft,1,2,1 BHK Apartment ,"6, ",Wagholi,Resale,Freehold,3000000,"₹ 4,918/ sq ft ","Ready to move,Unfurnished"
2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,585 sq ft",2,3,3 BHK Apartment ,"1, ",Wagholi,Resale,Freehold,7000000,"₹ 4,416/ sq ft ","Ready to move,Unfurnished"
2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Landscaped Gardens","Sports Facility,Jogging Track","5,350 sq ft",2,8,4 BHK Apartment ,"6, ",Boat Club Road,New,Freehold,95400000,"₹ 17,831/ sq ft ",Ready to move
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,270 sq ft",,3,3 BHK Apartment ,"3, ",Salunke Vihar,Resale,Freehold,7200000,"₹ 5,669/ sq ft ","Ready to move,Semi-Furnished"
4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Landscaped Gardens",Sports Facility,"1,144 sq ft",,2,2 BHK Apartment ,"4, ",Pimple Gurav,Resale,Freehold,7000000,"₹ 6,118/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,24 X 7 Security,Swimming Pool","Power Backup,Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,250 sq ft",1,2,2 BHK Apartment ,"8, ",Baner,New,Freehold,9000000,"₹ 7,200/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,AC","Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,600 sq ft",2,4,4 BHK Apartment ,"5, ",Baner,New,Freehold,26000000,"₹ 10,000/ sq ft ",Ready to move
2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,AC","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","4,000 sq ft",2,4,4 BHK Apartment ,"7, ",Koregaon Park,New,Freehold,60000000,"₹ 15,000/ sq ft ",Ready to move
1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room",Landscaped Gardens,"3,500 sq ft",2,4,4 BHK Apartment ,"9, ",Balewadi,New,Freehold,31500000,"₹ 9,000/ sq ft ",Ready to move
2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,AC","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","4,810 sq ft",2,4,4 BHK Apartment ,"9, ",Bavdhan,New,Freehold,33600000,"₹ 6,985/ sq ft ",Ready to move
2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,AC","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","4,000 sq ft",2,4,4 BHK Apartment ,"6, ",Koregaon Park,New,Freehold,60000000,"₹ 15,000/ sq ft ",Ready to move
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,950 sq ft,,2,2 BHK Apartment ,"2, ",Pimple Saudagar,Resale,Co-Operative Society,6700000,"₹ 7,052/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"1,060 sq ft",,2,2 BHK Apartment ,"4, ",Pimple Saudagar,Resale,Co-Operative Society,7000000,"₹ 6,603/ sq ft ","Ready to move,Unfurnished"
5 - 6 years,"Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","Lift Available,Jogging Track",830 sq ft,2,2,2 BHK Apartment ,"7, ",Hadapsar,Resale,Co-Operative Society,3500000,"₹ 4,216/ sq ft ","Ready to move,Unfurnished"
2 years,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Jogging Track,Intercom,Landscaped Gardens","Lift Available,Swimming Pool,Sports Facility",745 sq ft,,1,1 BHK Apartment ,"9, ",Wagholi,Resale,Freehold,3100000,"₹ 4,161/ sq ft ","Ready to move,Unfurnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens",850 sq ft,1,2,2 BHK Apartment ,"8, ",Wakad,Resale,Co-Operative Society,5500000,"₹ 6,470/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,197 sq ft",1,2,2 BHK Apartment ,"10, ",Hinjewadi,Resale,Co-Operative Society,6200000,"₹ 5,179/ sq ft ","Ready to move,Unfurnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,050 sq ft",1,2,2 BHK Apartment ,"8, ",Wakad,Resale,Co-Operative Society,6700000,"₹ 6,380/ sq ft ","Ready to move,Unfurnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,Children's play area,Vaastu Compliant,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","24 X 7 Security,Club House,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","3,700 sq ft",,4,5 BHK Villa ,"1, ",Aundh,Resale,Freehold,26500000,"₹ 7,162/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM,AC","Children's play area,Sports Facility,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,250 sq ft",2,2,2 BHK Apartment ,"5, ",Wagholi,Resale,Freehold,6500000,"₹ 5,200/ sq ft ","Ready to move,Semi-Furnished"
12 - 13 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens","Club House,Gymnasium,Swimming Pool,Sports Facility",505 sq ft,,1,1 BHK Apartment ,"3, ",Viman Nagar,Resale,Freehold,3900000,"₹ 7,722/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,AC","Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,800 sq ft",2,4,4 BHK Apartment ,"3, ",Bavdhan,New,Freehold,22000000,"₹ 7,857/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,412 sq ft",2,4,4 BHK Apartment ,"9, ",Balewadi,New,Freehold,20500000,"₹ 8,499/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Golf Course,Multipurpose Room,Landscaped Gardens,AC","Club House,Jogging Track,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","5,115 sq ft",2,4,4 BHK Apartment ,"8, ",Aundh,New,Freehold,60000000,"₹ 11,730/ sq ft ",Ready to move
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,640 sq ft",2,3,3 BHK Apartment ,"4, ",Hinjewadi,New,Freehold,9500000,"₹ 5,792/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room","Sports Facility,Landscaped Gardens","1,473 sq ft",,3,3 BHK Apartment ,"8, ",Baner,New,Freehold,10000000,"₹ 6,788/ sq ft ",Ready to move
4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Landscaped Gardens",Sports Facility,895 sq ft,2,2,2 BHK Apartment ,"7, ",Wagholi,Resale,Freehold,3800000,"₹ 4,245/ sq ft ","Ready to move,Unfurnished"
4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,595 sq ft,1,1,1 BHK Apartment ,"5, ",Wagholi,Resale,Freehold,3100000,"₹ 5,210/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens",Sports Facility,"1,206 sq ft",1,2,2 BHK Apartment ,"5, ",Baner,New,Freehold,8500000,"₹ 7,048/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,AC","Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","3,600 sq ft",2,4,4 BHK Apartment ,"4, ",Baner,New,Freehold,45000000,"₹ 12,500/ sq ft ",Ready to move
3 - 4 years,"Car Parking,Power Backup,24 X 7 Security","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,050 sq ft",,2,2 BHK Apartment ,"1, ",Pimple Nilakh,Resale,Co-Operative Society,6000000,"₹ 5,714/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track",850 sq ft,2,2,2 BHK Apartment ,"4, ",Pimple Gurav,Resale,Freehold,5200000,"₹ 6,117/ sq ft ","Ready to move,Unfurnished"
12 - 13 years,"Car Parking,Wardrobe,Sofa,Dining Table,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Wifi,Gas connection","1,000 sq ft",,2,2 BHK Apartment ,"5, ",Pimple Gurav,Resale,Co-Operative Society,6200000,"₹ 6,200/ sq ft ","Ready to move,Furnished"
4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,838 sq ft,,2,2 BHK Apartment ,"5, ",Tathawade,Resale,Co-Operative Society,4800000,"₹ 5,727/ sq ft ","Ready to move,Unfurnished"
8 - 9 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,AC,Wardrobe","Sports Facility,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED",850 sq ft,,2,2 BHK Apartment ,"4, ",Kharadi,Resale,Co-Operative Society,5100000,"₹ 6,000/ sq ft ","Ready to move,Semi-Furnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,ATM,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Wifi,Microwave,Dining Table,Gas connection,BED",Sports Facility,"1,400 sq ft",2,3,3 BHK Apartment ,"2, ",Baner,Resale,Co-Operative Society,7900000,"₹ 5,642/ sq ft ","Ready to move,Furnished"
10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,AC,Wardrobe,Refrigerator,Sofa,Washing Machine,Wifi,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,TV","1,374 sq ft",2,3,3 BHK Apartment ,"5, ",Aundh,Resale,Co-Operative Society,12500000,"₹ 9,097/ sq ft ","Ready to move,Furnished"
4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Wardrobe,Refrigerator,Sofa,Washing Machine,Wifi,Dining Table,Gas connection,BED","Sports Facility,AC,TV","1,020 sq ft",2,2,2 BHK Apartment ,"1, ",Pimple Saudagar,Resale,Co-Operative Society,7200000,"₹ 7,058/ sq ft ","Ready to move,Furnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"1,260 sq ft",2,2,2 BHK Apartment ,"4, ",NIBM Annex Mohammadwadi,Resale,Freehold,7000000,"₹ 5,555/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,ATM","Sports Facility,Landscaped Gardens","1,087 sq ft",,2,2 BHK Apartment ,"7, ",Baner,New,Freehold,7206000,"₹ 6,629/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Multipurpose Room","Sports Facility,Landscaped Gardens","1,390 sq ft",,3,3 BHK Apartment ,"9, ",Baner,New,Freehold,9100000,"₹ 6,546/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM,AC","Sports Facility,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,315 sq ft",,3,3 BHK Apartment ,"7, ",Baner,New,Freehold,21000000,"₹ 9,071/ sq ft ",Ready to move
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,School,Hospital,ATM,Gas connection","Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED",860 sq ft,,2,2 BHK Apartment ,"2, ",Hadapsar,Resale,Co-Operative Society,3800000,"₹ 4,418/ sq ft ","Ready to move,Unfurnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Club House,997 sq ft,,2,2 BHK Apartment ,"7, ",Wagholi,Resale,Freehold,5500000,"₹ 5,516/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility",610 sq ft,,1,1 BHK Apartment ,"6, ",Hadapsar,Resale,Co-Operative Society,2800000,"₹ 4,590/ sq ft ","Ready to move,Unfurnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool","Children's play area,Sports Facility,Jogging Track,Landscaped Gardens","2,681 sq ft",2,5,4 BHK Apartment ,"7, ",Laxman Nagar,Resale,Freehold,21700000,"₹ 8,093/ sq ft ","Ready to move,Unfurnished"
